run_date,ticker,name,market,close,score,confidence,signal,suggested_allocation,stop_loss,target_price,holding_period
2026-06-06,AAPL,Apple,US,307.34,83,74,BUY,5000.0,282.75,356.51,2-6 weeks
2026-06-06,AKRBP.OL,Aker BP,Oslo Bors,348.5,68,51,HOLD,0,320.62,404.26,1-4 weeks
2026-06-06,AMD,AMD,US,466.38,65,40,HOLD,0,429.07,541.0,1-4 weeks
2026-06-06,AMZN,Amazon,US,246.03,35,23,SELL,0,226.35,285.39,Review only
2026-06-06,BRK-B,Berkshire Hathaway,US,488.13,78,72,BUY,5000.0,449.08,566.23,2-6 weeks
2026-06-06,COST,Costco,US,971.87,38,30,SELL,0,894.12,1127.37,Review only
2026-06-06,DNB.OL,DNB Bank,Oslo Bors,284.4,56,49,HOLD,0,261.65,329.9,1-4 weeks
2026-06-06,EQNR.OL,Equinor,Oslo Bors,354.0,30,12,HOLD,0,325.68,410.64,Review only
2026-06-06,GOOGL,Alphabet,US,368.53,62,50,HOLD,0,339.05,427.49,1-4 weeks
2026-06-06,JPM,JPMorgan Chase,US,312.37,50,40,HOLD,0,287.38,362.35,1-4 weeks
2026-06-06,KOG.OL,Kongsberg Gruppen,Oslo Bors,312.0,28,7,HOLD,0,287.04,361.92,Review only
2026-06-06,MA,Mastercard,US,491.08,18,8,SELL,0,451.79,569.65,Review only
2026-06-06,META,Meta Platforms,US,593.0,5,0,SELL,0,545.56,687.88,Review only
2026-06-06,MOWI.OL,Mowi,Oslo Bors,190.9,14,4,SELL,0,175.63,221.44,Review only
2026-06-06,MSFT,Microsoft,US,416.67,53,40,HOLD,0,383.34,483.34,1-4 weeks
2026-06-06,NHY.OL,Norsk Hydro,Oslo Bors,116.05,79,65,BUY,5000.0,106.77,134.62,2-6 weeks
2026-06-06,NVDA,NVIDIA,US,205.1,53,38,HOLD,0,188.69,237.92,1-4 weeks
2026-06-06,PLTR,Palantir,US,135.53,6,0,SELL,0,124.69,157.21,Review only
2026-06-06,SALM.OL,SalMar,Oslo Bors,534.0,36,24,SELL,0,491.28,619.44,Review only
2026-06-06,TEL.OL,Telenor,Oslo Bors,148.8,15,6,SELL,0,136.9,172.61,Review only
2026-06-06,TOM.OL,Tomra,Oslo Bors,95.75,1,0,SELL,0,88.09,111.07,Review only
2026-06-06,V,Visa,US,323.57,60,50,HOLD,0,297.68,375.34,1-4 weeks
2026-06-06,YAR.OL,Yara,Oslo Bors,493.7,13,0,SELL,0,454.2,572.69,Review only
2026-06-06,AAPL,Apple,US,307.34,83,74,BUY,5000.0,282.75,356.51,2-6 weeks
2026-06-06,AKRBP.OL,Aker BP,Oslo Bors,348.5,68,51,HOLD,0,320.62,404.26,1-4 weeks
2026-06-06,AMD,AMD,US,466.38,65,40,HOLD,0,429.07,541.0,1-4 weeks
2026-06-06,AMZN,Amazon,US,246.03,35,23,SELL,0,226.35,285.39,Review only
2026-06-06,BRK-B,Berkshire Hathaway,US,488.13,78,72,BUY,5000.0,449.08,566.23,2-6 weeks
2026-06-06,COST,Costco,US,971.87,38,30,SELL,0,894.12,1127.37,Review only
2026-06-06,DNB.OL,DNB Bank,Oslo Bors,284.4,56,49,HOLD,0,261.65,329.9,1-4 weeks
2026-06-06,EQNR.OL,Equinor,Oslo Bors,354.0,30,12,HOLD,0,325.68,410.64,Review only
2026-06-06,GOOGL,Alphabet,US,368.53,62,50,HOLD,0,339.05,427.49,1-4 weeks
2026-06-06,JPM,JPMorgan Chase,US,312.37,50,40,HOLD,0,287.38,362.35,1-4 weeks
2026-06-06,KOG.OL,Kongsberg Gruppen,Oslo Bors,312.0,28,7,HOLD,0,287.04,361.92,Review only
2026-06-06,MA,Mastercard,US,491.08,18,8,SELL,0,451.79,569.65,Review only
2026-06-06,META,Meta Platforms,US,593.0,5,0,SELL,0,545.56,687.88,Review only
2026-06-06,MOWI.OL,Mowi,Oslo Bors,190.9,14,4,SELL,0,175.63,221.44,Review only
2026-06-06,MSFT,Microsoft,US,416.67,53,40,HOLD,0,383.34,483.34,1-4 weeks
2026-06-06,NHY.OL,Norsk Hydro,Oslo Bors,116.05,79,65,BUY,5000.0,106.77,134.62,2-6 weeks
2026-06-06,NVDA,NVIDIA,US,205.1,53,38,HOLD,0,188.69,237.92,1-4 weeks
2026-06-06,PLTR,Palantir,US,135.53,6,0,SELL,0,124.69,157.21,Review only
2026-06-06,SALM.OL,SalMar,Oslo Bors,534.0,36,24,SELL,0,491.28,619.44,Review only
2026-06-06,TEL.OL,Telenor,Oslo Bors,148.8,15,6,SELL,0,136.9,172.61,Review only
2026-06-06,TOM.OL,Tomra,Oslo Bors,95.75,1,0,SELL,0,88.09,111.07,Review only
2026-06-06,V,Visa,US,323.57,60,50,HOLD,0,297.68,375.34,1-4 weeks
2026-06-06,YAR.OL,Yara,Oslo Bors,493.7,13,0,SELL,0,454.2,572.69,Review only
2026-06-06,AAPL,Apple,US,307.34,83,74,BUY,5000.0,282.75,356.51,2-6 weeks
2026-06-06,AKRBP.OL,Aker BP,Oslo Bors,348.5,68,51,HOLD,0,320.62,404.26,1-4 weeks
2026-06-06,AMD,AMD,US,466.38,65,40,HOLD,0,429.07,541.0,1-4 weeks
2026-06-06,AMZN,Amazon,US,246.03,35,23,SELL,0,226.35,285.39,Review only
2026-06-06,BRK-B,Berkshire Hathaway,US,488.13,78,72,BUY,5000.0,449.08,566.23,2-6 weeks
2026-06-06,COST,Costco,US,971.87,38,30,SELL,0,894.12,1127.37,Review only
2026-06-06,DNB.OL,DNB Bank,Oslo Bors,284.4,56,49,HOLD,0,261.65,329.9,1-4 weeks
2026-06-06,EQNR.OL,Equinor,Oslo Bors,354.0,30,12,HOLD,0,325.68,410.64,Review only
2026-06-06,GOOGL,Alphabet,US,368.53,62,50,HOLD,0,339.05,427.49,1-4 weeks
2026-06-06,JPM,JPMorgan Chase,US,312.37,50,40,HOLD,0,287.38,362.35,1-4 weeks
2026-06-06,KOG.OL,Kongsberg Gruppen,Oslo Bors,312.0,28,7,HOLD,0,287.04,361.92,Review only
2026-06-06,MA,Mastercard,US,491.08,18,8,SELL,0,451.79,569.65,Review only
2026-06-06,META,Meta Platforms,US,593.0,5,0,SELL,0,545.56,687.88,Review only
2026-06-06,MOWI.OL,Mowi,Oslo Bors,190.9,14,4,SELL,0,175.63,221.44,Review only
2026-06-06,MSFT,Microsoft,US,416.67,53,40,HOLD,0,383.34,483.34,1-4 weeks
2026-06-06,NHY.OL,Norsk Hydro,Oslo Bors,116.05,79,65,BUY,5000.0,106.77,134.62,2-6 weeks
2026-06-06,NVDA,NVIDIA,US,205.1,53,38,HOLD,0,188.69,237.92,1-4 weeks
2026-06-06,PLTR,Palantir,US,135.53,6,0,SELL,0,124.69,157.21,Review only
2026-06-06,SALM.OL,SalMar,Oslo Bors,534.0,36,24,SELL,0,491.28,619.44,Review only
2026-06-06,TEL.OL,Telenor,Oslo Bors,148.8,15,6,SELL,0,136.9,172.61,Review only
2026-06-06,TOM.OL,Tomra,Oslo Bors,95.75,1,0,SELL,0,88.09,111.07,Review only
2026-06-06,V,Visa,US,323.57,60,50,HOLD,0,297.68,375.34,1-4 weeks
2026-06-06,YAR.OL,Yara,Oslo Bors,493.7,13,0,SELL,0,454.2,572.69,Review only
